plateifu,stellar_pa,halpha_pa,classification,STEL_QUAL,GAS_QUAL,STEL_FEATURE,GAS_FEATURE,GAS_NOTES
10001-6101,151.0,204.5,0,0,0,0,0,0
10001-6104,136.0,108.5,0,0,0,0,0,0
10213-12701,247.0,279.0,0,0,0,0,0,0
10213-12704,313.0,163.5,0,0,0,0,0,0
10213-3702,163.5,175.5,0,0,0,0,0,0
10213-3704,161.5,66.5,0,0,0,0,0,0
10213-6104,19.0,240.0,0,0,0,0,0,0
10214-12702,234.5,5.5,0,0,0,0,0,0
10214-12704,185.5,319.5,0,0,0,0,0,0
10214-12705,1.0,288.5,0,0,0,0,0,0
10214-3704,147.0,342.5,0,0,0,0,0,0
10214-6102,359.0,235.5,0,0,0,0,0,0
10216-1901,155.5,47.0,0,0,0,0,0,0
10216-1902,187.5,357.5,0,0,0,0,0,0
10216-9101,9.0,15.5,0,0,0,0,0,0
10217-1902,207.5,234.0,0,0,0,0,0,0
10217-6101,111.5,287.0,0,0,0,0,0,0
10217-6104,355.0,165.0,0,0,0,0,0,0
10217-9101,262.5,223.0,0,0,0,0,0,0
10218-6101,102.0,192.5,0,0,0,0,0,0
10219-1902,109.0,117.0,0,0,0,0,0,0
10219-3703,310.5,342.5,0,0,0,0,0,0
10219-6101,84.5,292.0,0,0,0,0,0,0
10220-6102,326.0,179.5,0,0,0,0,0,0
10221-12702,159.5,144.0,0,0,0,0,0,0
10493-1902,122.0,289.0,0,0,0,0,0,0
10493-3703,10.0,246.5,0,0,0,0,0,0
10493-6101,126.5,60.5,0,0,0,0,0,0
10493-6102,241.5,358.5,0,0,0,0,0,0
10493-6103,35.0,75.0,0,0,0,0,0,0
10493-6104,208.5,281.0,0,0,0,0,0,0
10494-12702,36.5,169.0,0,0,0,0,0,0
10494-12703,161.0,136.5,0,0,0,0,0,0
10494-1901,25.0,335.0,0,0,0,0,0,0
10494-3702,54.0,32.0,0,0,0,0,0,0
10494-6103,198.5,136.0,0,0,0,0,0,0
10496-1902,293.5,4.0,0,0,0,0,0,0
10496-3701,5.5,268.0,0,0,0,0,0,0
10496-6103,189.0,212.5,0,0,0,0,0,0
10496-6104,46.0,345.5,0,0,0,0,0,0
10496-9101,201.0,151.0,0,0,0,0,0,0
10497-12701,119.5,299.5,0,0,0,0,0,0
10497-12702,307.5,302.0,0,0,0,0,0,0
10497-12704,231.5,257.0,0,0,0,0,0,0
10497-3703,150.0,171.0,0,0,0,0,0,0
10497-6102,179.0,73.5,0,0,0,0,0,0
10498-12703,341.0,43.5,0,0,0,0,0,0
10498-12704,,,0,0,0,0,0,0
10498-3702,237.5,282.5,0,0,0,0,0,0
10498-3703,264.0,140.0,0,0,0,0,0,0
10498-6101,219.0,304.5,0,0,0,0,0,0
10498-6102,297.0,53.5,0,0,0,0,0,0
10498-9102,331.0,198.5,0,0,0,0,0,0
10499-12702,344.5,77.0,0,0,0,0,0,0
10499-1901,248.5,248.5,0,0,0,0,0,0
10499-9101,229.0,97.5,0,0,0,0,0,0
10503-3702,103.5,255.5,0,0,0,0,0,0
10503-6101,281.5,309.5,0,0,0,0,0,0
10503-6103,176.5,326.5,0,0,0,0,0,0
10503-9101,286.0,285.0,0,0,0,0,0,0
10504-12705,309.5,237.5,0,0,0,0,0,0
10504-3701,18.0,59.0,0,0,0,0,0,0
10506-12701,56.0,41.5,0,0,0,0,0,0
10506-3704,204.5,292.5,0,0,0,0,0,0
10507-12701,131.5,245.0,0,0,0,0,0,0
10508-6102,238.0,259.0,0,0,0,0,0,0
10508-9101,130.5,259.5,0,0,0,0,0,0
10508-9102,265.0,181.0,0,0,0,0,0,0
10509-12704,102.0,342.5,0,0,0,0,0,0
10509-9102,296.0,242.0,0,0,0,0,0,0
10510-1902,45.0,45.0,0,0,0,0,0,0
10510-3701,264.5,139.5,0,0,0,0,0,0
10510-3702,100.5,321.0,0,0,0,0,0,0
10510-6102,9.5,168.5,0,0,0,0,0,0
10510-6104,355.0,20.5,0,0,0,0,0,0
10511-12702,191.0,157.0,0,0,0,0,0,0
10511-3702,177.0,9.0,0,0,0,0,0,0
10511-6103,124.0,112.5,0,0,0,0,0,0
10511-9101,142.5,108.5,0,0,0,0,0,0
10511-9102,52.5,63.0,0,0,0,0,0,0
10512-3702,126.5,130.5,0,0,0,0,0,0
10514-3702,305.0,60.5,0,0,0,0,0,0
10514-3704,87.5,73.0,0,0,0,0,0,0
10516-12703,312.5,125.5,0,0,0,0,0,0
10517-12704,307.0,311.5,0,0,0,0,0,0
10517-12705,35.5,354.5,0,0,0,0,0,0
10517-1901,77.5,252.0,0,0,0,0,0,0
10517-6103,357.5,305.0,0,0,0,0,0,0
10519-12703,314.0,1.5,0,0,0,0,0,0
10519-3704,253.0,316.5,0,0,0,0,0,0
7443-1902,6.5,46.0,0,0,0,0,0,0
7443-3701,301.0,147.5,0,0,0,0,0,0
7443-3702,77.5,156.0,0,0,0,0,0,0
7443-3703,,,0,0,0,0,0,0
7443-3704,7.0,59.5,0,0,0,0,0,0
7443-9102,193.5,23.5,0,0,0,0,0,0
7495-1901,351.5,340.5,0,0,0,0,0,0
7495-9101,242.5,244.0,0,0,0,0,0,0
7815-3703,23.0,138.5,0,0,0,0,0,0
7815-6102,74.0,89.0,0,0,0,0,0,0
7957-12701,135.5,146.0,0,0,0,0,0,0
7958-12701,115.5,160.0,0,0,0,0,0,0
7958-12702,175.5,184.0,0,0,0,0,0,0
7958-1901,318.5,316.0,0,0,0,0,0,0
7958-3701,160.5,255.0,0,0,0,0,0,0
7958-6102,196.5,231.0,0,0,0,0,0,0
7960-9102,17.5,130.0,0,0,0,0,0,0
7962-3702,89.0,112.0,0,0,0,0,0,0
7962-6101,190.0,321.5,0,0,0,0,0,0
7962-9102,21.0,279.0,0,0,0,0,0,0
7964-1902,67.5,349.5,0,0,0,0,0,0
7964-6102,299.0,340.5,0,0,0,0,0,0
7968-3701,315.0,315.0,0,0,0,0,0,0
7968-6104,78.5,184.5,0,0,0,0,0,0
7972-12705,308.0,292.5,0,0,0,0,0,0
7972-9102,209.5,141.0,0,0,0,0,0,0
7975-6103,81.5,259.0,0,0,0,0,0,0
7977-12702,335.0,347.5,0,0,0,0,0,0
7977-1901,189.5,272.5,0,0,0,0,0,0
7977-6102,191.5,246.5,0,0,0,0,0,0
