plateifu,stellar_pa,halpha_pa,classification,STEL_QUAL,GAS_QUAL,STEL_FEATURE,GAS_FEATURE,GAS_NOTES
10001-9101,96.5,105.0,1,1,1,0,0,0
10001-9102,122.0,132.5,1,1,1,0,0,0
10213-12703,260.5,268.5,1,1,1,0,0,0
10213-9102,349.5,354.0,1,1,1,0,0,0
10214-1901,268.0,316.5,1,1,1,0,0,0
10214-1902,190.0,11.5,1,1,1,0,0,0
10214-6101,340.5,338.5,1,1,1,0,0,0
10214-6103,122.5,132.0,1,1,1,0,0,0
10214-9102,37.0,44.0,1,1,1,0,0,0
10215-1901,293.0,320.0,1,1,1,0,0,0
10215-6103,32.0,25.5,1,1,1,0,0,0
10215-9102,19.0,18.0,1,1,1,0,0,0
10216-12703,357.0,348.5,1,1,1,0,0,0
10216-12704,238.0,204.5,1,1,1,0,0,0
10216-12705,32.0,2.0,1,1,1,0,0,0
10216-3701,16.0,16.0,1,1,1,0,0,0
10217-12702,358.5,337.0,1,1,1,0,0,0
10217-3702,178.0,166.0,1,1,1,0,0,0
10217-6103,253.0,250.0,1,1,1,0,0,0
10218-12701,330.0,332.0,1,1,1,0,0,0
10218-1901,4.5,16.0,1,1,1,0,0,0
10218-6104,58.0,64.0,1,1,1,0,0,0
10219-6103,173.5,153.0,1,1,1,0,0,0
10219-6104,101.5,94.5,1,1,1,0,0,0
10219-9101,231.0,238.5,1,1,1,0,0,0
10220-12703,170.0,157.0,1,1,1,0,0,0
10220-12704,18.0,25.0,1,1,1,0,0,0
10220-1901,209.5,28.5,1,1,1,0,0,0
10220-1902,357.0,337.5,1,1,1,0,0,0
10220-3702,49.0,83.5,1,1,1,0,0,0
10221-12701,125.0,111.5,1,1,1,0,0,0
10221-12703,271.5,264.0,1,1,1,0,0,0
10221-12704,269.0,278.5,1,1,1,0,0,0
10221-12705,154.0,160.0,1,1,1,0,0,0
10221-1902,218.0,215.5,1,1,1,0,0,0
10492-12705,90.0,117.0,1,1,1,0,0,0
10492-1901,328.0,343.5,1,1,1,0,0,0
10492-3702,179.5,187.0,1,1,1,0,0,0
10492-6101,339.0,329.5,1,1,1,0,0,0
10493-12701,94.0,102.5,1,1,1,0,0,0
10493-12702,243.0,245.5,1,1,1,0,0,0
10493-12703,169.5,163.5,1,1,1,0,0,0
10493-12704,180.0,146.5,1,1,1,0,0,0
10493-12705,74.0,75.5,1,1,1,0,0,0
10493-1901,248.5,241.5,1,1,1,0,0,0
10493-3704,250.0,260.0,1,1,1,0,0,0
10493-9101,25.0,22.0,1,1,1,0,0,0
10493-9102,240.0,244.0,1,1,1,0,0,0
10496-12703,137.0,115.0,1,1,1,0,0,0
10496-9102,57.5,58.0,1,1,1,0,0,0
10497-12703,40.5,37.5,1,1,1,0,0,0
10497-1901,5.5,16.5,1,1,1,0,0,0
10497-1902,292.0,171.5,1,1,1,0,0,0
10497-6103,333.5,300.5,1,1,1,0,0,0
10498-12701,281.5,313.5,1,1,1,0,0,0
10498-12702,2.0,17.5,1,1,1,0,0,0
10499-12701,288.5,283.0,1,1,1,0,0,0
10499-6104,121.5,112.0,1,1,1,0,0,0
10503-12701,291.0,268.0,1,1,1,0,0,0
10503-6104,187.5,200.0,1,1,1,0,0,0
10504-12703,221.0,206.0,1,1,1,0,0,0
10506-12704,26.5,60.0,1,1,1,0,0,0
10506-12705,94.5,102.5,1,1,1,0,0,0
10506-1901,273.0,280.5,1,1,1,0,0,0
10506-3702,107.5,98.5,1,1,1,0,0,0
10506-6104,119.5,112.0,1,1,1,0,0,0
10506-9102,124.0,121.0,1,1,1,0,0,0
10507-12702,160.5,172.5,1,1,1,0,0,0
10507-1901,358.0,84.5,1,1,1,0,0,0
10507-1902,78.0,106.0,1,1,1,0,0,0
10508-12705,287.0,286.5,1,1,1,0,0,0
10508-1902,119.0,122.5,1,1,1,0,0,0
10508-3701,168.5,274.0,1,1,1,0,0,0
10509-3703,202.5,224.0,1,1,1,0,0,0
10509-6103,328.5,326.0,1,1,1,0,0,0
10510-12703,300.0,291.5,1,1,1,0,0,0
10510-9101,125.0,125.5,1,1,1,0,0,0
10510-9102,358.0,2.5,1,1,1,0,0,0
10511-12701,27.5,28.0,1,1,1,0,0,0
10511-12703,102.5,102.5,1,1,1,0,0,0
10511-12704,334.0,327.5,1,1,1,0,0,0
10511-1901,282.5,283.0,1,1,1,0,0,0
10512-1901,127.0,354.5,1,1,1,0,0,0
10512-6101,253.0,163.0,1,1,1,0,0,0
10514-12704,289.5,294.0,1,1,1,0,0,0
10514-12705,165.0,169.0,1,1,1,0,0,0
10514-3701,67.5,56.5,1,1,1,0,0,0
10514-3703,154.0,201.5,1,1,1,0,0,0
10514-6102,26.5,48.5,1,1,1,0,0,0
10514-6104,163.5,177.5,1,1,1,0,0,0
10516-12704,268.0,264.5,1,1,1,0,0,0
10516-3701,150.5,151.5,1,1,1,0,0,0
10516-6102,143.5,147.0,1,1,1,0,0,0
10516-9102,301.5,307.0,1,1,1,0,0,0
10517-1902,167.5,150.5,1,1,1,0,0,0
10517-3702,334.5,346.5,1,1,1,0,0,0
10517-6104,251.5,278.5,1,1,1,0,0,0
10519-3703,100.0,102.5,1,1,1,0,0,0
10519-6101,331.0,324.5,1,1,1,0,0,0
7443-12702,122.0,121.5,1,1,1,0,0,0
7443-1901,247.0,239.5,1,1,1,0,0,0
7443-6101,119.5,115.0,1,1,1,0,0,0
7443-9101,43.0,68.0,1,1,1,0,0,0
7495-12701,322.5,322.5,1,1,1,0,0,0
7495-12705,269.0,272.0,1,1,1,0,0,0
7495-6104,101.5,88.5,1,1,1,0,0,0
7815-12701,179.5,167.0,1,1,1,0,0,0
7815-12702,313.5,291.5,1,1,1,0,0,0
7815-12703,195.0,199.0,1,1,1,0,0,0
7815-3701,298.0,287.0,1,1,1,0,0,0
7815-3704,92.0,94.0,1,1,1,0,0,0
7815-6101,104.0,97.5,1,1,1,0,0,0
7957-6104,267.0,260.5,1,1,1,0,0,0
7957-9101,353.5,353.0,1,1,1,0,0,0
7958-12703,4.0,1.0,1,1,1,0,0,0
7958-1902,125.0,124.0,1,1,1,0,0,0
7958-6103,10.0,5.0,1,1,1,0,0,0
7958-9101,36.0,168.5,1,1,1,0,0,0
7958-9102,15.5,39.0,1,1,1,0,0,0
7960-3703,120.0,297.5,1,1,1,0,0,0
7960-6101,128.0,132.0,1,1,1,0,0,0
7960-6102,88.5,75.5,1,1,1,0,0,0
7960-6103,136.0,108.0,1,1,1,0,0,0
7960-9101,2.5,358.5,1,1,1,0,0,0
7962-12701,36.0,50.0,1,1,1,0,0,0
7962-3701,255.5,277.0,1,1,1,0,0,0
7962-9101,279.0,278.0,1,1,1,0,0,0
7964-12701,233.0,224.0,1,1,1,0,0,0
7964-12702,16.5,17.0,1,1,1,0,0,0
7964-3701,38.5,43.5,1,1,1,0,0,0
7964-3704,47.5,32.0,1,1,1,0,0,0
7968-3702,357.0,357.5,1,1,1,0,0,0
7968-3703,258.5,245.5,1,1,1,0,0,0
7968-3704,31.0,18.0,1,1,1,0,0,0
7968-6103,347.0,231.0,1,1,1,0,0,0
7972-12701,359.0,8.5,1,1,1,0,0,0
7972-12702,269.0,271.5,1,1,1,0,0,0
7972-12703,251.0,264.5,1,1,1,0,0,0
7972-3701,80.5,100.0,1,1,1,0,0,0
7972-6102,55.5,36.0,1,1,1,0,0,0
7972-9101,209.5,214.0,1,1,1,0,0,0
7975-12701,45.5,22.5,1,1,1,0,0,0
7975-12702,189.0,191.0,1,1,1,0,0,0
7975-12705,132.5,121.5,1,1,1,0,0,0
7977-9101,9.5,37.0,1,1,1,0,0,0
7979-12704,94.5,84.0,1,1,1,0,0,0
7991-6101,267.5,187.5,1,1,1,0,0,0
7992-3701,334.0,154.0,1,1,1,0,0,0
7992-3703,170.0,170.0,1,1,1,0,0,0
7992-3704,206.0,194.5,1,1,1,0,0,0
7992-9101,12.5,23.0,1,1,1,0,0,0
7993-1902,63.0,63.0,1,1,1,0,0,0
8078-3702,357.0,345.0,1,1,1,0,0,0
8079-1902,328.0,310.5,1,1,1,0,0,0
8079-3702,52.5,46.0,1,1,1,0,0,0
8080-12705,204.0,206.5,1,1,1,0,0,0
8080-1902,81.5,85.0,1,1,1,0,0,0
8080-3702,325.0,309.5,1,1,1,0,0,0
8082-12703,227.5,258.0,1,1,1,0,0,0
8082-12704,161.0,152.5,1,1,1,0,0,0
8083-3704,99.0,96.0,1,1,1,0,0,0
8084-12701,92.0,86.5,1,1,1,0,0,0
8084-1902,317.5,230.0,1,1,1,0,0,0
8084-6102,86.5,59.0,1,1,1,0,0,0
8084-6103,310.0,288.0,1,1,1,0,0,0
8085-6104,190.0,206.5,1,1,1,0,0,0
8086-12702,355.5,360.0,1,1,1,0,0,0
8086-12703,34.0,25.0,1,1,1,0,0,0
8086-12704,344.5,342.5,1,1,1,0,0,0
8086-1902,321.0,253.5,1,1,1,0,0,0
8086-6103,16.5,5.5,1,1,1,0,0,0
8097-3703,147.0,132.0,1,1,1,0,0,0
8097-6102,117.0,262.0,1,1,1,0,0,0
8132-6101,74.0,75.0,1,1,1,0,0,0
8133-1901,11.0,10.5,1,1,1,0,0,0
8133-6102,169.5,168.5,1,1,1,0,0,0
8133-9102,220.0,221.5,1,1,1,0,0,0
8134-12701,64.0,69.5,1,1,1,0,0,0
8134-12703,110.0,119.5,1,1,1,0,0,0
8134-6104,318.5,310.5,1,1,1,0,0,0
8135-6101,344.5,12.0,1,1,1,0,0,0
8137-3704,261.5,278.5,1,1,1,0,0,0
8138-1901,299.5,280.0,1,1,1,0,0,0
8140-12704,232.5,198.5,1,1,1,0,0,0
8140-1902,192.0,205.0,1,1,1,0,0,0
8140-6101,24.0,46.0,1,1,1,0,0,0
8140-6104,257.0,240.5,1,1,1,0,0,0
8140-9101,337.5,344.0,1,1,1,0,0,0
8141-9102,250.0,239.0,1,1,1,0,0,0
8143-12703,141.0,175.0,1,1,1,0,0,0
8143-12705,14.0,10.0,1,1,1,0,0,0
8143-3704,297.0,302.0,1,1,1,0,0,0
8143-6103,312.5,295.5,1,1,1,0,0,0
8144-12701,265.5,250.5,1,1,1,0,0,0
8144-3702,217.5,234.0,1,1,1,0,0,0
8144-6103,344.0,350.5,1,1,1,0,0,0
8145-12703,137.5,114.0,1,1,1,0,0,0
8145-12705,228.0,246.0,1,1,1,0,0,0
8145-9102,303.5,322.5,1,1,1,0,0,0
8146-9101,241.5,245.5,1,1,1,0,0,0
8147-12701,319.5,295.5,1,1,1,0,0,0
8147-1901,238.0,90.5,1,1,1,0,0,0
